connectance_windsor,Pixel_Lat,Pixel_Long,CGIAR_PET,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_Seasonality,ConsensusLandCover_Human_Development_Percentage,ConsensusLandCoverClass_Barren,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,ConsensusLandCoverClass_Herbaceous_Vegetation,ConsensusLandCoverClass_Mixed_Other_Trees,ConsensusLandCoverClass_Shrubs,EarthEnvTexture_CoOfVar_EVI,EarthEnvTexture_Correlation_EVI,EarthEnvTexture_Homogeneity_EVI,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,EarthEnvTopoMed_TopoPositionIndex,EsaCci_BurntAreasProbability,GHS_Population_Density,GlobBiomass_AboveGroundBiomass,GlobPermafrost_PermafrostExtent,MODIS_NDVI,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,SG_Depth_to_bedrock,SG_Sand_Content_005cm,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm
0.124156545,43.96250153,-79.07917023,920,78.94449615,725.7701416,256.2930298,11.83710003,72,0,18,0,0,7,4,0,498,317,3723,-0.17446357,-0.975519896,186.5,1.187981844,-1.9375,0,0.653194308,112.6965332,0,5525.268066,1,200,41.95738602,40.76934052,63.20164108
0.035067212,36.01250076,-78.97916412,1403,154.9419708,1162.53125,301.2953186,13.88892651,10,0,19,0,27,0,44,0,766,3003,2124,-0.752561927,0.633550644,150.5,0.99759537,0.0625,0,6.964724064,144.7329712,0,7217.486328,1,200,42.56032944,26.45963669,49.52811813
0.064335664,43.84583282,-74.92082977,834,54.01160431,1336.522461,228.2496338,10.87528992,0,0,84,0,2,0,14,0,667,157,2009,-0.310938507,0.583878636,692,3.459274769,2.125,0,0,178.2972412,0,5486.632813,1,136.3838654,58.32342148,155.8678894,41.10126877
0.034965035,36.01250076,-78.97916412,1403,154.9419708,1162.53125,301.2953186,13.88892651,10,0,19,0,27,0,44,0,766,3003,2124,-0.752561927,0.633550644,150.5,0.99759537,0.0625,0,6.964724064,144.7329712,0,7217.486328,1,200,42.56032944,26.45963669,49.52811813
0.057756387,44.35416794,-74.3125,838,58.85293198,1003.046631,236.041748,16.44459152,0,0,0,0,18,0,75,0,931,339,1739,-0.756731868,-0.097920373,503.5,0.783815145,1.6875,0,0.256165326,137.3283539,0,5494.216309,30,199.6957703,59.41992569,148.764679,44.18296051
0.069850621,44.30416489,-73.9375,839,58.35334015,785.3759766,234.4848328,16.94412804,0,0,42,0,13,0,46,0,978,3505,1776,0.244429961,0.590797305,517,2.391561508,-3.625,0,0.116565049,132.6314697,0,5964.040527,7,200,60.01516724,152.1483765,45.70214081
0.043486702,44.36249924,-74.32917023,837,57.97224045,1052.092041,235.1925201,16.54194069,0,0,15,0,20,0,65,0,665,448,2470,-0.156112537,0.289110959,518,1.681831598,-4.125,0,0.005131837,174.6035614,0,5811.719238,8,192.2249756,58.3405571,178.7758636,44.47328186
0.277777778,-18.5625,-52.01250076,1600,238.0775146,1396.773682,302.5330811,68.21908569,9,0,0,0,0,0,57,34,1529,4077,1726,-0.985869408,-0.107284643,592.5,2.470443726,-2.4375,0,0,26.49671173,0,3833.039795,12,198.9085388,47.9249382,25.68631363,54.41322708
0.166666667,-20.09583282,-55.96250153,1678,254.7668457,1213.899048,319.0979309,54.40240097,8,0,49,0,0,0,15,26,796,5272,2653,-0.760420263,-0.082198977,129.5,0.20937705,0.125,0,0.007035397,53.08906555,0,6739.757813,50,200,62.58742523,15.94019413,58.01776886
0.121052632,-19.62083244,-56.98749924,1701,255.8836365,1047.983032,320.638855,57.95943451,11,0,15,0,0,0,53,21,598,2532,3373,0.534597516,0.316227973,91,0.180392995,-0.375,0.854867637,0,75.46737671,0,7353.95166,50,200,53.68206024,20.55081749,60.74401855
